iter	MultiClass
203	1.171261389
204	1.164529913
205	1.158572549
206	1.152693873
207	1.146217396
208	1.14022138
209	1.13356508
210	1.12792474
211	1.121512084
212	1.116329263
213	1.110364231
214	1.104549105
215	1.098968458
216	1.093163174
217	1.086035208
218	1.080493513
219	1.074600001
220	1.068375991
221	1.062890922
222	1.057091115
223	1.051238345
224	1.045352854
225	1.039464701
226	1.033697916
227	1.028362283
228	1.023162523
229	1.017533894
230	1.012438763
231	1.007777456
232	1.002809274
233	0.9974737769
234	0.9927521734
235	0.9874166731
236	0.9823793888
237	0.9770401406
238	0.9709778212
239	0.9668771067
240	0.9620759364
241	0.9574628828
242	0.9522054614
243	0.9471548598
244	0.9419725069
245	0.9369189024
246	0.9323474094
247	0.9276758713
248	0.9232983558
249	0.9181341885
250	0.9135832055
251	0.9092606431
252	0.9049971227
253	0.9006506206
254	0.8968480498
255	0.8923939594
256	0.8884590594
257	0.8838941875
258	0.8790481255
259	0.8741094506
260	0.8703791698
261	0.8659618179
262	0.8622229565
263	0.8584094023
264	0.8546167936
265	0.8511114533
266	0.8463118834
267	0.8419441936
268	0.8378495481
269	0.834204966
270	0.8304325847
271	0.8264691923
272	0.8228601625
273	0.8188773275
274	0.8152145716
275	0.8113674247
276	0.8072613542
277	0.8036222454
278	0.7999928778
279	0.7965098468
280	0.7927242878
281	0.7892192263
282	0.7852945248
283	0.7807152795
284	0.7769736528
285	0.7738376712
286	0.7700662229
287	0.766307113
288	0.763176857
289	0.7599907321
290	0.7567045202
291	0.7532599294
292	0.7500306026
293	0.7473096293
294	0.7441504248
295	0.7410640468
296	0.7375195362
297	0.7339465507
298	0.7302563911
299	0.7269894353
300	0.7233081528
301	0.7202661805
302	0.7171730796
303	0.7142481348
304	0.710991646
305	0.7073368082
306	0.7036396568
307	0.7006311649
308	0.6975488342
309	0.6943586744
310	0.6910584626
311	0.6881063238
312	0.6853862558
313	0.6826726259
314	0.6789368793
315	0.6759703619
316	0.6726828977
317	0.6696931099
318	0.666866718
319	0.6636336068
320	0.6602429345
321	0.6574499111
322	0.654354291
323	0.6513534297
324	0.6486458731
325	0.6452532526
326	0.6426943159
327	0.6401112738
328	0.6373195559
329	0.6346179721
330	0.6321636781
331	0.6293645393
332	0.6266659066
333	0.6236378751
334	0.621005316
335	0.6182977364
336	0.615922724
337	0.6127773027
338	0.6106226261
339	0.6075641504
340	0.6045581775
341	0.601835358
342	0.5990788723
343	0.5970076946
344	0.5943652202
345	0.5922855737
346	0.5900246393
347	0.5877764261
348	0.5850446719
349	0.5823409196
350	0.5796356805
351	0.5772565913
352	0.5746964156
353	0.5723582237
354	0.5698887357
355	0.5672878684
356	0.5650598484
357	0.5628748838
358	0.5604393942
359	0.5577486366
360	0.5553805712
361	0.5532783045
362	0.5510840472
363	0.548932315
364	0.54708523
365	0.5450498934
366	0.5431897454
367	0.5411774832
368	0.5391381718
369	0.5368387205
370	0.5347641088
371	0.5325219953
372	0.5305750188
373	0.5284085027
374	0.5265929681
375	0.524452848
376	0.522424918
377	0.5202637181
378	0.5182964276
379	0.5160277757
380	0.5136688114
381	0.5113706722
382	0.5095410379
383	0.5074293946
384	0.5053759776
385	0.5033618072
386	0.5016713909
387	0.4998984344
388	0.4977627607
389	0.4960504297
